,userId,movieId,rating,timestamp
76827,479,4633,3.5,1179163833
92496,596,1812,4.0,941641264
34643,231,6700,3.0,1209068673
46320,304,6576,2.5,1494083634
18783,120,43,3.0,847656010
5506,38,1145,4.0,974789727
51805,333,7163,4.0,1266697817
23420,159,1274,2.0,971114356
11401,67,6677,3.5,1230498651
35525,238,5255,4.5,1221158756
89463,579,1441,3.5,1167792797
65222,417,922,4.0,1461869820
18031,112,1062,3.0,980306983
25469,176,5391,2.0,1435537639
83830,533,6471,3.5,1459787995
58080,379,9530,3.0,1508436758
54163,356,436,3.5,1348612073
99105,607,2194,4.0,1117408685
3677,21,1915,3.5,1268726085
73841,473,1946,4.0,1046887440
70304,447,8604,2.0,1441045203
69529,447,4416,1.0,1079084740
76246,479,97,5.0,1179160978
53790,353,5922,3.5,1200952977
37148,248,7689,4.5,1347887221
27745,186,5656,4.5,1161849499
44031,293,422,1.0,966596985
56533,375,84,3.5,1364994336
11770,71,257,4.5,1217324757
78634,488,944,4.0,1333101663
13980,88,8870,4.5,1520409179
81220,513,1601,3.0,1533949258
48907,316,6313,2.0,1430512197
7814,51,5721,5.0,1468051746
54880,362,9587,2.0,1502584409
70937,452,1210,3.0,972621757
87806,566,734,2.0,1525288267
22507,152,4875,0.5,1525552680
8671,58,945,5.0,953610406
38589,264,1432,4.0,965316589
99757,609,2804,3.5,1493844911
21411,139,2804,4.0,973264967
14656,90,4596,5.0,1112716461
66154,424,4791,4.0,1085492350
8229,56,968,4.0,965798685
9571,63,991,5.0,1161564479
65567,419,6059,3.0,1218217812
81152,513,999,5.0,1533872331
90729,589,1062,3.0,1258421067
11580,67,8004,4.0,1372618197
73992,473,2373,4.0,1137521240
9103,61,8671,3.5,1521490276
45614,300,4153,4.0,1211378412
68414,443,510,5.0,832672087
4362,27,1978,4.0,1234516355
22957,155,2144,4.5,1106854732
6526,44,357,3.0,951170710
254,1,8287,5.0,1445714966
32408,220,1497,4.0,1111178043
13766,88,6478,5.0,1520409384
37205,248,7930,3.5,1356120495
9136,61,9443,4.5,1523048794
44776,297,2992,3.0,1447598128
2536,18,1097,1.0,965712068
25307,176,3227,2.0,1435525646
68762,447,559,3.0,1019125666
